Vendor ID,Vendor Name,Item type,Item ID,Item name,Barcode,SKU,Stock Unit,Vendor item ID,Default quantity,Default price,Primary vendor,Active
13,House of Spices,product,3283,Laxmi KOLHAPURI KURMURA 400GM,7232461213900,7232461213900,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3284,Laxmi Ladoo Besan 2LB,723246121048,723246121048,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3285,Laxmi LADOO BESAN 4LB,723246121482,723246121482,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3407,Laxmi Lentil Grn Whl 2LB,723246300061,723246300061,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3408,Laxmi Lentil Lrg Green 4LB,723246300092,723246300092,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3092,Laxmi Madras Pappadums 7oz,7232461262588,7232461262588,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3286,Laxmi Mamra 800gm,7232461217588,7232461217588,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3409,Laxmi Masoor Gota 4LB,723246181486,723246181486,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3410,Laxmi MasoorDal 2LB,7232461832378,7232461832378,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3411,Laxmi MasoorDal 4LB,723246183244,723246183244,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3412,Laxmi MasoorGota/Moth,723246181424,723246181424,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3287,Laxmi Methi 300Gm,723246165141,723246165141,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3288,Laxmi METHI SEED 14OZ,723246176710,723246176710,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3289,Laxmi Methi Whole 7oz,723246176703,723246176703,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3290,Laxmi Mint Chutney 8oz,723246009254,723246009254,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3093,Laxmi Mix 4-IN-1 400gm,7232462462222,7232462462222,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3291,Laxmi Moong Dal 2LB,723246183053,723246183053,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3413,Laxmi Moong Dal 2LB,7232461830534,7232461830534,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3094,Laxmi Moong Dal 4LB,723246183060,723246183060,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3414,Laxmi Moong Medium 4LB,723246181639,723246181639,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3415,Laxmi Moong Split 2LB,7232461820252,7232461820252,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3095,Laxmi MOONG WHOLE 4lb,7232461810666,7232461810666,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3416,Laxmi Moong Whole Smal 4LB,723246181066,723246181066,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3418,Laxmi MoongDal Splt 4LB,7232461820320,7232461820320,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3292,Laxmi MoongFlr 2LB,723246121147,723246121147,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3293,Laxmi Moth Whl 2LB,723246181288,723246181288,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3294,Laxmi Mukhwas Green 14oz,723246166117,723246166117,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3295,Laxmi Multigrain Flour 10LB,7232462461232,7232462461232,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3296,Laxmi MUSTARD SEED 200g,723246295862,723246295862,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3297,Laxmi MUSTARD SEED 400g,7232462958794,7232462958794,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3298,Laxmi Mustrd Oil 16oz,723246101095,723246101095,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3299,Laxmi Mustrd Oil 8oz,723246102092,723246102092,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3300,Laxmi Naan/Pita 10PK,723246161143,723246161143,Unit,,1.0000,0.0000,Yes,Yes
